PRECTOTCORR,QV2M,PS,WS50M,T2M,TS,ALLSKY_SFC_SW_DWN,WS10M,ALLSKY_SFC_UV_INDEX,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_PAR_TOT,WS2M
0.04,8.12,102.13,3.59,13.35,14.7,5.11,2.99,1.63,147.4,107.8,2.41
0.25,10.8,101.54,4.86,18.16,17.05,6.81,3.52,1.32,137.62,140.6,2.66
1.82,12.7,101.14,6.98,20.65,18.4,7.42,4.52,0.5,147.52,152.2,3.06
0.05,8.97,101.54,6.24,17.94,16.87,8.1,4.38,1.71,153.09,162.7,3.23
0.09,8.36,101.93,3.57,15.96,16.23,8.17,2.95,2.05,151.89,165,2.34
2.14,8.61,101.83,8.28,15.19,15.62,4.21,6.87,1.67,153.84,91.2,5.45
42.76,9.16,100.8,9.84,14.01,14.51,0.64,8.21,2.18,153.62,16.9,6.5
1.76,7.75,101.52,7.01,15.27,15.02,7.03,5.44,2.02,153.21,143.5,4.15
0.01,9.58,101.76,6.23,17.69,16.12,5.89,4.05,1.94,154.48,123.8,2.91
0,11.54,101.48,9.2,19.94,17.86,7.34,5.96,1.83,155.8,150.1,4.27
0.41,12.63,101.55,9.14,22.01,19.71,7.72,5.59,1.23,135.23,156.7,3.89
10.68,13.73,101.51,7.87,22.31,20.17,7.45,4.95,1.88,147.41,152.6,3.38
7.62,11.9,101.78,5.36,17.89,17.94,2.19,4.45,1.3,135.02,51.6,3.44
6.64,8.54,102.09,6.59,14.18,15.12,2.8,5.7,1.52,138.31,64.6,4.66
1.43,8.73,102.12,5.76,14.37,15.47,2.6,5.06,1.98,146,60.4,4.18
0.47,12.21,101.44,6.46,18.4,18.24,4.4,4.76,1.91,153.9,95.3,3.65
0.31,13.92,101.29,8.54,20.69,19.65,4.92,5.68,0.61,145.96,108,4.18
3.23,14.22,101.39,7.99,22.4,20.5,7.11,5.23,2.2,144.88,150,3.65
5.77,11.96,101.72,4.64,18.77,18.39,2.62,3.14,1.82,126.42,60.7,2.23
0.42,11.41,101.8,3.62,19.4,18.65,2.74,2.48,2.11,144.37,62.3,1.75
0.48,10.8,101.88,4.16,20.34,19.61,8.06,2.87,1.29,125.75,163,2.13
0.97,12.57,101.39,9.76,20.3,19.9,7.93,7.34,1.9,146.55,161,5.66
4.31,13.73,100.71,8.45,21.74,20.48,4.35,5.41,1.6,146.24,93.2,3.95
0.03,11.41,101.18,3.7,22.05,20.64,8.1,2.51,1.87,148.22,161.9,1.83
0.02,12.33,101.83,4.35,21.34,20.69,7.62,3.07,2.38,152.4,155.1,2.24
0.4,14.34,101.53,9.47,22.13,21.4,7.61,6.59,2.41,151.41,154.4,4.99
1.02,15.2,101.28,7.8,22.94,22.15,7.21,5.2,2.13,140.97,148,3.84
2.76,14.77,101.2,6.92,23.37,22.09,6.91,4.45,2.16,147.82,143.4,3.1
2.32,12.08,101.41,3.8,20.9,21.33,4.98,2.99,2.2,149.46,105.6,2.38
2.38,12.02,100.91,3.66,19.65,20.67,2.43,3.06,1.92,140.24,54.4,2.53
0.2,11.29,101.08,4.93,21.19,21.36,7.97,3.61,1.8,139.57,160,2.7
0,10.62,101.56,3.4,21.71,22.19,8.46,2.8,2.38,157.87,167.8,2.27
0.09,11.6,101.57,4.88,22.73,22.69,8.46,3.7,1.97,153.13,168.1,2.87
7.3,13.79,101.52,6.26,22.42,22.42,6.73,4.68,1.29,138.61,139.5,3.67
2.41,14.89,101.05,5.34,23.37,23.23,6.24,3.73,2.2,149.27,130,2.84
0.07,11.9,100.86,5.28,23.64,23.05,8.48,3.66,2.29,154.59,169.6,2.69
0.09,9.58,101.1,3.42,21.08,22.33,8.14,3,1.93,156.06,163.6,2.53
0.23,9.22,101.37,6.82,21.08,21.84,7.76,5.49,0.9,133.17,157,4.44
0,9.22,101.77,5.08,20.9,21.83,8.3,3.99,2.21,149.09,165.8,3.18
0.86,12.27,101.35,8.21,22.15,22.39,6.79,6.46,2.02,144.88,138.8,5.1
0.41,13.73,100.56,7.77,24.48,23.48,7.16,5.26,0.5,147.02,146.8,3.8
0,10.93,100.99,3.59,22.68,22.94,7.77,2.62,1.79,151.84,156.8,2.02
0,10.38,101.4,4.65,22.11,22.59,8.44,3.69,1.98,152.63,167.9,2.95
